(2, 0) 0.0276 0.0276 0.993 0.3241
(3, 0) 0.9951 0.9951 0.9951 0.0028
(4, 0) 0.4785 0.4785 1.0101 0.1742
(5, 0) 0.525 0.525 0.9981 0.1583
(6, 0) 0.0961 0.9894 1.0106 0.3013
(7, 1) 0.7452 0.7691 0.7759 0.1368
(8, 0) 0.8735 0.9882 0.9907 0.0424
(11, 0) 0.8866 1.0062 1.011 0.038
(12, 0) 0.8539 0.8616 0.8616 0.0671
(14, 0) 0.7284 0.7284 1.0319 0.0931
(15, 0) 0.7482 1.0127 1.0385 0.085
(16, 0) 0.7533 0.7533 0.9758 0.0827
(17, 0) 0.7119 0.7119 0.9679 0.0969
(18, 0) 0.9977 0.9977 0.9978 0.0013
(19, 0) 0.6845 0.9892 0.9892 0.1052
(20, 0) 0.9848 0.9851 0.9851 0.0086
(21, 0) 0.0329 0.9978 1.0091 0.3224
(22, 0) 0.5735 0.5735 1.0271 0.1438
(23, 0) 0.5487 1.0376 1.0376 0.1526
(24, 0) 0.7055 1.0135 1.0135 0.0989
(25, 0) 0.0497 1.0765 1.087 0.3191
(26, 0) 0.423 0.4821 0.5098 0.3058
(27, 0) 0.426 0.53 0.6142 0.2787
(28, 0) 0.878 1.0097 1.0098 0.0409
(29, 0) 0.3623 0.9947 1.0318 0.2128
(30, 0) 0.9912 0.9913 0.9913 0.005
(31, 0) 0.588 0.7 0.9843 0.17
(32, 0) 0.7608 1.0205 1.0205 0.0815
(33, 0) 0.0501 0.0501 0.9919 0.3166
(34, 0) 0.51 0.5584 0.5866 0.2595
(35, 0) 0.9949 0.9959 0.9973 0.0023
(36, 0) 0.9767 0.9767 0.9779 0.0115
(37, 0) 0.5058 0.996 0.996 0.1657
(38, 0) 0.6495 0.6495 1.0053 0.1176
(39, 0) 0.6602 0.6602 1.0001 0.114
(39, 1) 0.6469 0.6469 1.0015 0.1185
(40, 0) 0.6145 0.6145 1.0046 0.1292
(41, 0) 0.5587 0.9941 0.9941 0.1474
(42, 0) 0.9832 0.9832 0.9842 0.0091
(42, 1) 0.9832 0.9832 0.9842 0.0091
(43, 0) 0.0687 0.9824 0.9848 0.3105
(44, 0) 0.3963 1.0929 1.106 0.2067
(45, 0) 0.3845 1.0006 1.0006 0.2055
(46, 0) 0.4891 0.9818 0.9818 0.1705
(47, 0) 0.5423 0.9801 0.9801 0.1528
(48, 0) 0.6425 1.0005 1.0005 0.1204
(49, 0) 0.6803 0.6803 0.9927 0.1075
(50, 0) 0.4247 1.0319 1.0384 0.1925
(51, 0) 0.4848 0.4848 1.0495 0.175
(52, 0) 0.6313 1.0306 1.0306 0.1246
(53, 0) 0.8923 0.9951 0.9951 0.0359
(53, 1) 0.8942 0.996 0.996 0.0353
(54, 0) 0.7598 0.7598 1.0253 0.0821
(55, 0) 0.6482 0.9914 0.9914 0.1173
(56, 0) 0.5563 0.5563 1.1257 0.1621
(57, 0) 0.9956 0.9956 0.9958 0.0024
(58, 0) 0.6264 0.9761 0.9761 0.1248
(59, 0) 0.671 0.9813 0.9813 0.1099
(60, 0) 0.6139 0.6579 0.9827 0.1721
(61, 0) 0.723 0.723 0.9986 0.0928
(62, 0) 0.6117 0.9677 0.9745 0.1301
(63, 0) 0.9061 0.9061 0.9236 0.0404
(64, 0) 0.6556 1.0295 1.0538 0.1166
(65, 0) 0.6686 1.0137 1.0767 0.1135
(66, 0) 0.7165 1.0045 1.0741 0.0977
(67, 0) 0.6977 0.6977 1.0127 0.1046
(68, 0) 0.6943 0.6943 1.0059 0.102
(69, 0) 0.7711 1.0533 1.0701 0.0818
(70, 0) 0.7053 1.0053 1.0053 0.0984
(71, 0) 0.9708 0.9708 0.9903 0.0104
(72, 0) 0.0029 0.0131 0.0131 0.5704
(73, 0) 0.5405 0.9927 0.9949 0.1532
(74, 0) 0.8775 0.8775 0.9896 0.0411
(75, 0) 0.1867 0.9831 0.9842 0.2712
(76, 0) 0.6397 1.026 1.026 0.1214
(77, 0) 0.8043 0.8043 1.0024 0.0654
(78, 0) 0.8723 0.9925 0.9935 0.0427
(79, 0) 0.7927 0.9902 1.0663 0.0726
(80, 0) 0.6558 1.0269 1.0671 0.1172
(80, 1) 0.6699 0.6699 1.0183 0.1128
(81, 0) 0.186 0.9755 0.9755 0.2715
(82, 0) 0.9307 0.9943 0.9947 0.0233
(83, 0) 0.1651 0.981 0.9828 0.2784
(84, 0) 0.7581 0.9868 0.9868 0.0808
(84, 1) 0.3933 0.4952 0.9798 0.2632
(85, 0) 0.1584 0.9712 0.9712 0.2808
(86, 0) 0.8743 0.9915 0.9915 0.0421
(87, 0) 0.8917 0.9926 0.9926 0.0363
(88, 0) 0.6802 1.029 1.029 0.1095
(89, 0) 0.8235 0.9963 1.006 0.0589
(90, 0) 0.8947 0.9928 0.9928 0.0352
(91, 0) 0.5698 1.0261 1.0261 0.144
(92, 0) 0.0543 0.9996 0.9996 0.3153
(93, 0) 0.5146 0.9706 0.9706 0.1623
(94, 0) 0.8091 1.0284 1.0499 0.0664
(95, 0) 0.1245 0.9936 0.9986 0.2919
(96, 0) 0.0049 0.9994 1.0042 0.3317
(97, 0) 0.4732 0.4732 0.5744 0.2265
(98, 0) 0.0444 0.9839 1.0022 0.3186
(98, 1) 0.6433 1.0077 1.0077 0.1191
(99, 0) 0.0271 0.769 0.769 0.3333
(99, 1) 0.4113 1.0338 1.0338 0.1997
(101, 0) 0.7919 0.9845 0.9845 0.0696
(102, 0) 0.6397 0.9914 0.9914 0.1201
(103, 0) 0.6289 1.0073 1.0073 0.1247
(104, 0) 0.4947 0.9459 0.9459 0.1702
(104, 1) 0.5687 0.9519 0.9519 0.1453
(105, 0) 0.5243 0.9919 0.9919 0.1599
(106, 0) 0.6334 0.9981 0.9981 0.1225
(107, 0) 0.7248 0.9638 0.9715 0.093
