@relation saggedV+AngleChange+NegSeq

@attribute ID numeric
@attribute faultId numeric
@attribute subfaultId numeric
@attribute isfaultedbus numeric
@attribute v_sag_1 numeric
@attribute v_sag_2 numeric
@attribute v_sag_3 numeric
@attribute delta_v numeric
@attribute a_change_1 numeric
@attribute a_change_2 numeric
@attribute a_change_3 numeric
@attribute rel_phase_2_1 numeric
@attribute rel_phase_3_1 numeric
@attribute rel_phase_3_2 numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_1 numeric
@attribute sub_phase_3_2 numeric
@attribute v_ss_1 numeric
@attribute v_ss_2 numeric
@attribute v_ss_3 numeric
@attribute pos_seq numeric
@attribute zero_seq numeric
@attribute neg_seq numeric
@attribute faultvsnofault {fault, nofault}
@attribute groundvsnoground {ground, noground}
@attribute linevsnoline {line, noline}
@attribute phasevsnophase {phase, nophase}
@attribute class {ground, line, phase, nofault}

@data
20, 45, 0, 1, 0.3845, 1.0006, 1.035, 0.2055, 0.7192, 0.9614, 1.3193, 2.6025, 2.6919, 1.0344, 0.6161, 0.6505, 0.0344, 546.7089, 540.8993, 541.5417, 425.56, 148.14, 118.42, fault, ground, noline, nophase, ground
21, 45, 0, 0, 0.3845, 1.0006, 1.0349, 0.2055, 0.7202, 0.9641, 1.3138, 2.6022, 2.6915, 1.0343, 0.6161, 0.6504, 0.0343, 546.7835, 540.9569, 541.6145, 425.61, 148.16, 118.43, fault, ground, noline, nophase, ground
22, 45, 0, 0, 0.3847, 0.999, 1.0347, 0.2054, 0.7176, 0.9616, 1.3211, 2.5971, 2.6899, 1.0357, 0.6144, 0.6501, 0.0357, 543.6324, 542.4389, 542.7843, 425.84, 148.11, 119.75, fault, ground, noline, nophase, ground
23, 45, 0, 0, 0.3847, 0.999, 1.0347, 0.2054, 0.7171, 0.964, 1.3186, 2.5966, 2.6894, 1.0357, 0.6143, 0.65, 0.0357, 543.5485, 542.3419, 542.693, 425.76, 148.09, 119.72, fault, ground, noline, nophase, ground
24, 33, 0, 0, 0.4224, 1.0902, 1.1837, 0.2042, 0.8182, 0.9164, 1.2658, 2.5808, 2.802, 1.0857, 0.6678, 0.7612, 0.0934, 538.158, 541.8145, 543.7297, 475.8, 202.61, 64.64, fault, ground, noline, nophase, ground
25, 33, 0, 0, 0.4225, 1.0903, 1.1837, 0.2042, 0.8182, 0.9165, 1.2657, 2.5807, 2.8019, 1.0857, 0.6678, 0.7612, 0.0934, 538.3509, 541.9389, 543.9133, 475.97, 202.66, 64.64, fault, ground, noline, nophase, ground
26, 33, 0, 0, 0.423, 1.0903, 1.1837, 0.2041, 0.818, 0.9167, 1.2658, 2.5774, 2.7983, 1.0857, 0.6673, 0.7607, 0.0934, 539.821, 541.8479, 543.9179, 476.26, 202.26, 64.53, fault, ground, noline, nophase, ground
27, 33, 0, 0, 0.423, 1.0902, 1.1837, 0.2041, 0.8186, 0.9162, 1.2659, 2.5773, 2.7982, 1.0857, 0.6672, 0.7607, 0.0934, 539.6702, 542.205, 543.8063, 476.36, 202.1, 64.79, fault, ground, noline, nophase, ground
28, 92, 0, 0, 0.401, 0.9901, 1.022, 0.1998, 0.9264, 0.9825, 1.0909, 2.4691, 2.5486, 1.0322, 0.5891, 0.621, 0.0319, 539.4067, 536.2812, 538.172, 431.46, 117.09, 102.78, fault, ground, noline, nophase, ground
29, 92, 0, 0, 0.4015, 0.9901, 1.0219, 0.1997, 0.9253, 0.9834, 1.0913, 2.4662, 2.5454, 1.0321, 0.5886, 0.6204, 0.0318, 540.3005, 537.1093, 538.5643, 432.03, 116.95, 102.84, fault, ground, noline, nophase, ground
30, 50, 0, 1, 0.4247, 1.0319, 1.0384, 0.1925, 0.932, 1.0047, 1.0637, 2.4295, 2.4448, 1.0063, 0.6072, 0.6137, 0.0065, 545.1079, 548.0251, 545.8107, 453.61, 133.73, 88.85, fault, ground, noline, nophase, ground
31, 4, 0, 1, 0.4785, 1.0101, 1.0309, 0.1742, 0.9574, 0.9897, 1.053, 2.111, 2.1545, 1.0206, 0.5316, 0.5524, 0.0208, 545.0796, 543.2428, 545.6153, 456.85, 112.98, 83.91, fault, ground, noline, nophase, ground
32, 4, 0, 0, 0.479, 1.01, 1.031, 0.174, 0.9573, 0.9896, 1.0532, 2.1087, 2.1525, 1.0208, 0.531, 0.552, 0.021, 545.3704, 543.3963, 546.4699, 457.33, 113.07, 83.9, fault, ground, noline, nophase, ground
33, 46, 0, 1, 0.4891, 0.9818, 1.016, 0.1705, 0.9404, 0.9765, 1.0828, 2.0075, 2.0774, 1.0348, 0.4927, 0.5269, 0.0342, 546.2605, 545.1608, 543.8367, 450.7, 103.48, 85.07, fault, ground, noline, nophase, ground
34, 31, 0, 1, 0.588, 0.7, 0.9843, 0.17, 0.6749, 1.121, 1.2042, 1.1904, 1.674, 1.4062, 0.112, 0.3963, 0.2843, 547.9965, 547.8661, 547.6846, 400.82, 3.29, 140.82, fault, noground, line, nophase, line
35, 31, 0, 0, 0.5886, 0.7006, 0.9843, 0.1697, 0.6748, 1.122, 1.2021, 1.1902, 1.6721, 1.4049, 0.1119, 0.3956, 0.2837, 548.9509, 548.5276, 546.0828, 400.7, 3.58, 140.59, fault, noground, line, nophase, line
36, 93, 0, 1, 0.5146, 0.9706, 0.9781, 0.1623, 0.9765, 1.0039, 1.0195, 1.8864, 1.9009, 1.0077, 0.4561, 0.4636, 0.0075, 236.6864, 236.171, 237.8124, 194.49, 33.5, 39.34, fault, ground, noline, nophase, ground
37, 93, 0, 0, 0.5145, 0.9747, 0.977, 0.1622, 0.9734, 1.0082, 1.0184, 1.8946, 1.899, 1.0023, 0.4603, 0.4625, 0.0023, 236.3773, 235.799, 237.4638, 194.43, 33.83, 39.15, fault, ground, noline, nophase, ground
38, 5, 0, 1, 0.525, 0.9981, 1.004, 0.1583, 0.9513, 0.9889, 1.0601, 1.9011, 1.9124, 1.0059, 0.4731, 0.479, 0.0059, 545.4508, 543.9073, 546.2619, 458.75, 91.46, 83.74, fault, ground, noline, nophase, ground
39, 5, 0, 0, 0.5251, 0.998, 1.0041, 0.1583, 0.9511, 0.9889, 1.0602, 1.9007, 1.9123, 1.0061, 0.4729, 0.479, 0.0061, 545.7132, 543.8524, 547.0245, 459.06, 91.57, 83.74, fault, ground, noline, nophase, ground
40, 4, 0, 0, 0.5337, 0.9865, 0.9969, 0.1555, 0.9809, 1.0031, 1.016, 1.8486, 1.868, 1.0105, 0.4529, 0.4632, 0.0104, 238.8329, 238.418, 239.3398, 200.4, 36.02, 37.07, fault, ground, noline, nophase, ground
41, 4, 0, 0, 0.5338, 0.9865, 0.9968, 0.1555, 0.9809, 1.0033, 1.0159, 1.848, 1.8672, 1.0104, 0.4527, 0.4629, 0.0103, 238.7874, 238.6047, 239.343, 200.46, 36.05, 37.07, fault, ground, noline, nophase, ground
42, 26, 0, 0, 0.7158, 0.7356, 0.7487, 0.1541, 0.9898, 0.9986, 1.0117, 1.0277, 1.046, 1.0178, 0.0198, 0.0329, 0.0131, 546.7311, 545.9101, 544.8091, 400.26, 2.06, 7.6, fault, noground, noline, phase, phase
43, 26, 0, 0, 0.7159, 0.7356, 0.7488, 0.1541, 0.9897, 0.9986, 1.0117, 1.0275, 1.046, 1.0179, 0.0197, 0.0329, 0.0132, 546.5757, 545.7439, 544.7158, 400.18, 2.06, 7.61, fault, noground, noline, phase, phase
44, 26, 0, 0, 0.716, 0.7362, 0.7488, 0.154, 0.9898, 0.9989, 1.0113, 1.0282, 1.0458, 1.0171, 0.0202, 0.0328, 0.0126, 546.5151, 546.9208, 543.6226, 400.32, 2.2, 7.29, fault, noground, noline, phase, phase
45, 26, 0, 0, 0.7159, 0.7363, 0.7488, 0.154, 0.9897, 0.999, 1.0114, 1.0284, 1.0459, 1.0171, 0.0203, 0.0329, 0.0126, 546.6771, 547.1212, 543.7533, 400.45, 2.21, 7.31, fault, noground, noline, phase, phase
46, 23, 0, 1, 0.5487, 1.0376, 1.0666, 0.1526, 0.9168, 0.9942, 1.0884, 1.8909, 1.9438, 1.028, 0.4889, 0.5179, 0.029, 547.8649, 544.9133, 544.5868, 480.31, 121.59, 60.45, fault, ground, noline, nophase, ground
47, 23, 0, 0, 0.5487, 1.0376, 1.0665, 0.1526, 0.9148, 0.9952, 1.0897, 1.8909, 1.9437, 1.0279, 0.4889, 0.5178, 0.029, 548.1127, 545.1048, 544.8287, 480.5, 121.62, 60.48, fault, ground, noline, nophase, ground
48, 23, 0, 0, 0.5492, 1.0374, 1.0663, 0.1524, 0.9136, 0.995, 1.0909, 1.8888, 1.9414, 1.0279, 0.4882, 0.5171, 0.0289, 547.4016, 543.6915, 545.7615, 480.16, 122.04, 60.19, fault, ground, noline, nophase, ground
49, 23, 0, 0, 0.5493, 1.0375, 1.0663, 0.1524, 0.917, 0.9929, 1.0892, 1.8887, 1.9412, 1.0278, 0.4882, 0.517, 0.0288, 547.6052, 543.8523, 545.9522, 480.32, 122.07, 60.19, fault, ground, noline, nophase, ground
50, 27, 0, 0, 0.7234, 0.7492, 0.7527, 0.1493, 0.9928, 1.0034, 1.0038, 1.0356, 1.0404, 1.0046, 0.0258, 0.0292, 0.0035, 542.2598, 541.1122, 543.0468, 402.13, 4.36, 6.07, fault, noground, noline, phase, phase
51, 27, 0, 0, 0.7234, 0.7492, 0.7527, 0.1493, 0.9927, 1.0034, 1.0038, 1.0357, 1.0405, 1.0046, 0.0258, 0.0293, 0.0034, 542.0897, 541.0163, 542.89, 402.04, 4.38, 6.08, fault, noground, noline, phase, phase
52, 27, 0, 0, 0.7235, 0.7494, 0.7534, 0.1491, 0.9927, 1.0036, 1.0037, 1.0357, 1.0413, 1.0053, 0.0259, 0.0299, 0.004, 543.2708, 539.9501, 542.8122, 402.21, 4.13, 5.75, fault, noground, noline, phase, phase
53, 27, 0, 0, 0.7236, 0.7494, 0.7534, 0.1491, 0.9926, 1.0036, 1.0038, 1.0357, 1.0412, 1.0053, 0.0258, 0.0298, 0.004, 543.471, 540.0769, 542.9695, 402.33, 4.11, 5.74, fault, noground, noline, phase, phase
