@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data
0.7367, 0.0893, 0.2254, 0.0054, ground
0.7369, 0.0893, 0.2254, 0.0052, ground
0.743, 0.0873, 0.2183, 0.0052, ground
0.7431, 0.0873, 0.2182, 0.0053, ground
0.7432, 0.0873, 0.2178, 0.0056, ground
0.7432, 0.0873, 0.2178, 0.0055, ground
0.7426, 0.0862, 0.2335, 0.0145, ground
0.7428, 0.0862, 0.2332, 0.0145, ground
0.7482, 0.085, 0.2645, 0.0258, ground
0.7531, 0.0839, 0.2639, 0.0281, ground
0.7531, 0.0839, 0.2639, 0.0281, ground
0.7532, 0.0838, 0.2638, 0.0281, ground
0.7532, 0.0838, 0.2638, 0.028, ground
0.7504, 0.0838, 0.2243, 0.0108, ground
0.7507, 0.0837, 0.2243, 0.0106, ground
0.7533, 0.0827, 0.2225, 0.0115, ground
0.7533, 0.0827, 0.2225, 0.0115, ground
0.7594, 0.0816, 0.2586, 0.0242, ground
0.7595, 0.0816, 0.2585, 0.0241, ground
0.7608, 0.0815, 0.2597, 0.0253, ground
0.7641, 0.079, 0.2161, 0.0095, ground
0.7642, 0.079, 0.2161, 0.0094, ground
0.7643, 0.0789, 0.2159, 0.0096, ground
0.7643, 0.0789, 0.2158, 0.0097, ground
0.7637, 0.0788, 0.2269, 0.0118, ground
0.8552, 0.0787, 0.0107, 0.0044, phase
0.8553, 0.0787, 0.0106, 0.0045, phase
0.8553, 0.0787, 0.0106, 0.0044, phase
0.8553, 0.0787, 0.0106, 0.0044, phase
0.7662, 0.0783, 0.2146, 0.0095, ground
0.7662, 0.0783, 0.2145, 0.0096, ground
0.861, 0.0778, 0.0027, 0.0079, phase
0.8609, 0.0778, 0.0027, 0.0079, phase
0.861, 0.0778, 0.0027, 0.0079, phase
0.8609, 0.0778, 0.0028, 0.0078, phase
0.7754, 0.0777, 0.1708, 0.0222, ground
0.7754, 0.0777, 0.1707, 0.0224, ground
0.7759, 0.0775, 0.1706, 0.022, ground
0.7759, 0.0775, 0.1706, 0.0221, ground
0.7723, 0.076, 0.2197, 0.0122, ground
0.7723, 0.0759, 0.2196, 0.0124, ground
0.7755, 0.0759, 0.1945, 0.006, ground
0.7755, 0.0759, 0.1944, 0.006, ground
0.7725, 0.0759, 0.2195, 0.0125, ground
0.7725, 0.0759, 0.2194, 0.0124, ground
0.7796, 0.0735, 0.2129, 0.0119, ground
0.7797, 0.0735, 0.2128, 0.012, ground
0.7843, 0.0729, 0.1865, 0.0094, ground
0.7843, 0.0728, 0.1863, 0.0096, ground
0.7899, 0.0723, 0.1683, 0.0077, ground
0.7899, 0.0723, 0.1683, 0.0078, ground
0.7873, 0.072, 0.1842, 0.0047, ground
0.7873, 0.072, 0.1842, 0.0047, ground
0.7874, 0.0719, 0.1839, 0.0049, ground
0.7875, 0.0719, 0.1839, 0.0048, ground
0.7996, 0.0705, 0.1469, 0.012, ground
0.7996, 0.0705, 0.1469, 0.0121, ground
0.7999, 0.0704, 0.1464, 0.0128, ground
0.8711, 0.0699, 0.01, 0.0038, phase
0.8711, 0.0699, 0.01, 0.0036, phase
0.8753, 0.0698, 0.0017, 0.0082, phase
0.8754, 0.0698, 0.0016, 0.0083, phase
0.8735, 0.0687, 0.0096, 0.0034, phase
0.8736, 0.0687, 0.0094, 0.0036, phase
0.8736, 0.0687, 0.0094, 0.0036, phase
0.8735, 0.0687, 0.0097, 0.0034, phase
0.7989, 0.0685, 0.168, 0.0061, ground
0.799, 0.0685, 0.1678, 0.0062, ground
0.879, 0.0682, 0.0001, 0.0085, phase
0.8789, 0.0682, 0.0001, 0.0086, phase
0.8737, 0.0682, 0.0111, 0.003, phase
0.8778, 0.0681, 0.003, 0.0067, phase
0.8738, 0.0681, 0.0111, 0.0029, phase
0.8778, 0.0681, 0.003, 0.0068, phase
0.8785, 0.0679, 0.0026, 0.0065, phase
0.8792, 0.0679, 0.001, 0.0079, phase
0.8791, 0.0679, 0.0011, 0.0079, phase
0.8786, 0.0679, 0.0025, 0.0067, phase
0.8793, 0.0679, 0.0008, 0.0079, phase
0.8794, 0.0678, 0.0008, 0.0078, phase
0.8762, 0.0675, 0.0089, 0.0031, phase
0.8763, 0.0675, 0.0089, 0.0031, phase
0.8539, 0.0671, 0.0077, 0.1363, line
0.854, 0.0671, 0.0076, 0.1363, line
0.8011, 0.0668, 0.1753, 0.0143, ground
0.8011, 0.0668, 0.1753, 0.0143, ground
0.8538, 0.0668, 0.0092, 0.1348, line
0.8539, 0.0668, 0.0092, 0.1349, line
0.8784, 0.0659, 0.0109, 0.0007, phase
0.8786, 0.0659, 0.0106, 0.001, phase
0.8087, 0.0653, 0.1582, 0.0057, ground
0.8088, 0.0653, 0.1582, 0.0056, ground
0.8093, 0.0653, 0.1568, 0.0049, ground
0.8093, 0.0653, 0.1568, 0.0049, ground
0.8119, 0.0632, 0.1674, 0.0087, ground
0.8119, 0.0632, 0.1674, 0.0087, ground
0.8874, 0.0629, 0.0018, 0.0077, phase
0.8876, 0.0628, 0.0017, 0.0076, phase
0.8188, 0.0625, 0.1443, 0.0059, ground
0.8188, 0.0625, 0.1444, 0.0059, ground
0.8197, 0.0619, 0.1389, 0.0258, ground
0.8198, 0.0619, 0.1388, 0.0257, ground
0.8206, 0.0617, 0.1442, 0.0059, ground
0.8207, 0.0617, 0.1442, 0.0058, ground
0.8182, 0.0616, 0.1578, 0.0007, ground
0.8179, 0.0611, 0.1667, 0.002, ground
0.8204, 0.0609, 0.153, 0.0048, ground
0.8205, 0.0609, 0.1529, 0.0048, ground
0.8891, 0.0599, 0.0095, 0.0028, phase
0.8891, 0.0599, 0.0095, 0.0028, phase
0.8891, 0.0599, 0.0096, 0.0026, phase
0.8903, 0.0599, 0.0086, 0.0008, phase
0.8891, 0.0599, 0.0095, 0.0027, phase
0.8904, 0.0599, 0.0087, 0.0007, phase
0.893, 0.0597, 0.0024, 0.0062, phase
0.8297, 0.0597, 0.1247, 0.0147, ground
0.893, 0.0597, 0.0023, 0.0063, phase
0.8931, 0.0597, 0.0023, 0.0062, phase
0.8932, 0.0596, 0.0023, 0.0061, phase
0.8308, 0.0594, 0.1227, 0.0157, ground
0.8257, 0.0591, 0.1492, 0.0058, ground
0.8257, 0.059, 0.1491, 0.0059, ground
0.8262, 0.058, 0.1664, 0.0005, ground
0.8314, 0.0575, 0.1395, 0.006, ground
0.8315, 0.0575, 0.1394, 0.006, ground
0.8316, 0.0575, 0.1395, 0.0061, ground
0.8316, 0.0575, 0.1394, 0.0061, ground
0.8302, 0.0568, 0.1564, 0.0143, ground
0.8303, 0.0567, 0.1563, 0.0142, ground
0.8345, 0.0554, 0.1532, 0.0019, ground
0.8345, 0.0554, 0.1532, 0.0018, ground
0.8377, 0.0543, 0.1497, 0.01, ground
0.8378, 0.0542, 0.1496, 0.0099, ground
0.8418, 0.0541, 0.1313, 0.0032, ground
0.8418, 0.0541, 0.1313, 0.0032, ground
0.8418, 0.0541, 0.1312, 0.0032, ground
0.8418, 0.0541, 0.1313, 0.0032, ground
0.8486, 0.0535, 0.1067, 0.0159, ground
0.8486, 0.0535, 0.1068, 0.0159, ground
0.8487, 0.0532, 0.1092, 0.0139, ground
0.8487, 0.0532, 0.1091, 0.0139, ground
0.8488, 0.0531, 0.1089, 0.0145, ground
0.8504, 0.0526, 0.1104, 0.008, ground
0.8504, 0.0526, 0.1103, 0.008, ground
0.8518, 0.0522, 0.1075, 0.0106, ground
0.8522, 0.0521, 0.1066, 0.0114, ground
0.8461, 0.0519, 0.1365, 0.0006, ground
0.8462, 0.0519, 0.1364, 0.0005, ground
0.8538, 0.0516, 0.1019, 0.0197, ground
0.8542, 0.0515, 0.0993, 0.0244, ground
0.854, 0.051, 0.1059, 0.0179, ground
0.854, 0.051, 0.1059, 0.0179, ground
0.8535, 0.0499, 0.1239, 0.0005, ground
0.8535, 0.0499, 0.124, 0.0004, ground
0.8536, 0.0499, 0.1241, 0.0003, ground
0.8536, 0.0499, 0.1241, 0.0003, ground
0.8559, 0.0499, 0.1113, 0.0099, ground
0.8559, 0.0499, 0.1111, 0.0099, ground
0.8602, 0.0492, 0.0977, 0.0216, ground
0.862, 0.0486, 0.0952, 0.0227, ground
0.8586, 0.0483, 0.1149, 0.009, ground
0.8587, 0.0483, 0.1148, 0.0091, ground
0.862, 0.0479, 0.1078, 0.0038, ground
0.8662, 0.0469, 0.0976, 0.0124, ground
0.9131, 0.0469, 0.0071, 0.0033, phase
0.9131, 0.0469, 0.0071, 0.0033, phase
0.8662, 0.0469, 0.0976, 0.0125, ground
0.8664, 0.0465, 0.1018, 0.0075, ground
0.8665, 0.0465, 0.1018, 0.0075, ground
0.862, 0.0464, 0.1251, 0.0015, ground
0.862, 0.0464, 0.125, 0.0014, ground
0.862, 0.0464, 0.125, 0.0015, ground
0.862, 0.0464, 0.125, 0.002, ground
0.862, 0.0464, 0.1251, 0.0014, ground
0.862, 0.0464, 0.125, 0.0019, ground
0.8656, 0.0462, 0.1064, 0.0083, ground
0.8657, 0.0462, 0.1063, 0.0084, ground
0.8657, 0.0462, 0.1064, 0.0084, ground
0.8657, 0.0462, 0.1063, 0.0084, ground
0.8734, 0.0452, 0.0795, 0.0355, ground
0.8742, 0.0451, 0.0833, 0.0175, ground
0.8742, 0.0451, 0.0832, 0.0176, ground
0.9207, 0.0444, 0.0009, 0.0053, phase
0.9207, 0.0444, 0.001, 0.0052, phase
0.8716, 0.0444, 0.0964, 0.0164, ground
0.8716, 0.0444, 0.0963, 0.0164, ground
0.9177, 0.0444, 0.0077, 0.001, phase
0.9177, 0.0444, 0.0077, 0.001, phase
0.8747, 0.0439, 0.0969, 0.0001, ground
0.8735, 0.0439, 0.0943, 0.0159, ground
0.8747, 0.0439, 0.0969, 0.0001, ground
0.8735, 0.0439, 0.0942, 0.016, ground
0.8748, 0.0438, 0.0968, 0.0001, ground
0.8735, 0.0436, 0.0971, 0.0141, ground
0.8736, 0.0436, 0.097, 0.0142, ground
0.8715, 0.0435, 0.1102, 0.006, ground
0.8715, 0.0435, 0.1102, 0.006, ground
0.8798, 0.0433, 0.0717, 0.0421, ground
0.8753, 0.0431, 0.0961, 0.0096, ground
0.8753, 0.0431, 0.0961, 0.0095, ground
0.8753, 0.0431, 0.0961, 0.0096, ground
0.8753, 0.0431, 0.096, 0.0097, ground
0.8719, 0.043, 0.1161, 0.0016, ground
0.8719, 0.043, 0.1161, 0.0016, ground
0.8757, 0.043, 0.0957, 0.0097, ground
0.8754, 0.043, 0.0974, 0.0083, ground
0.8757, 0.043, 0.0957, 0.0098, ground
0.8722, 0.0429, 0.116, 0.0014, ground
0.8722, 0.0429, 0.116, 0.0014, ground
0.8756, 0.0429, 0.0972, 0.0083, ground
0.8737, 0.0426, 0.1082, 0.0118, ground
0.8737, 0.0426, 0.1083, 0.0118, ground
0.8789, 0.0425, 0.0856, 0.0172, ground
0.8791, 0.0425, 0.0855, 0.0171, ground
0.8735, 0.0424, 0.1147, 0.0025, ground
0.8791, 0.0424, 0.0855, 0.0171, ground
0.8736, 0.0424, 0.1147, 0.0023, ground
0.8736, 0.0424, 0.1147, 0.0025, ground
0.8736, 0.0424, 0.1147, 0.0023, ground
0.8754, 0.0423, 0.1078, 0.0006, ground
0.8755, 0.0422, 0.1078, 0.0006, ground
0.8755, 0.0422, 0.1079, 0.0005, ground
0.8755, 0.0422, 0.1079, 0.0004, ground
0.8744, 0.0422, 0.1103, 0.0147, ground
0.8744, 0.0422, 0.1103, 0.0147, ground
0.8744, 0.0422, 0.1102, 0.0147, ground
0.8744, 0.0422, 0.1103, 0.0148, ground
0.8784, 0.0421, 0.0968, 0.0015, ground
0.8785, 0.0421, 0.0967, 0.0016, ground
0.8772, 0.042, 0.1028, 0.0003, ground
0.8772, 0.042, 0.1028, 0.0003, ground
0.8772, 0.042, 0.1028, 0.0002, ground
0.8773, 0.042, 0.1027, 0.0002, ground
0.8771, 0.0415, 0.106, 0.0079, ground
0.8771, 0.0415, 0.106, 0.0078, ground
0.8814, 0.0415, 0.0871, 0.0116, ground
0.8814, 0.0414, 0.0871, 0.0117, ground
0.8793, 0.0413, 0.0972, 0.0077, ground
0.8794, 0.0413, 0.0973, 0.0076, ground
0.878, 0.0409, 0.1316, 0.0002, ground
0.8781, 0.0409, 0.1316, 0.0001, ground
0.8846, 0.0406, 0.0855, 0.0047, ground
0.8842, 0.0406, 0.0891, 0.0003, ground
0.8797, 0.0406, 0.103, 0.0105, ground
0.8843, 0.0406, 0.0891, 0.0003, ground
0.8807, 0.0405, 0.1021, 0.001, ground
0.8807, 0.0405, 0.1021, 0.001, ground
0.8799, 0.0405, 0.1032, 0.0097, ground
0.8849, 0.0404, 0.0837, 0.0091, ground
0.8851, 0.0404, 0.0873, 0.0008, ground
0.8855, 0.0402, 0.0868, 0.0011, ground
0.8858, 0.0398, 0.0831, 0.0146, ground
0.8859, 0.0398, 0.0831, 0.0146, ground
0.8862, 0.0398, 0.0829, 0.0124, ground
0.8862, 0.0398, 0.0831, 0.0123, ground
0.888, 0.0396, 0.0742, 0.0252, ground
0.8881, 0.0396, 0.0742, 0.0252, ground
0.888, 0.0396, 0.0745, 0.0249, ground
0.888, 0.0396, 0.0745, 0.0249, ground
0.8847, 0.0395, 0.0961, 0.0002, ground
0.8847, 0.0395, 0.0961, 0.0002, ground
0.8848, 0.0394, 0.0962, 0.0001, ground
0.8848, 0.0394, 0.0962, 0.0001, ground
0.9271, 0.0392, 0.0074, 0.0003, phase
0.8886, 0.0392, 0.0807, 0.0082, ground
0.8887, 0.0392, 0.0807, 0.0083, ground
0.889, 0.039, 0.0793, 0.0124, ground
0.8865, 0.039, 0.0889, 0.01, ground
0.8865, 0.039, 0.0891, 0.0098, ground
0.8866, 0.039, 0.089, 0.0099, ground
0.8891, 0.039, 0.0793, 0.0124, ground
0.8866, 0.039, 0.0888, 0.01, ground
0.8869, 0.0389, 0.0886, 0.0101, ground
0.8869, 0.0389, 0.0886, 0.0101, ground
0.8872, 0.0387, 0.0935, 0.0001, ground
