@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data
0.9691, 0.011, 0.0204, 0.0051, ground
0.9693, 0.011, 0.0198, 0.0054, ground
0.9693, 0.011, 0.0199, 0.0053, ground
0.9693, 0.011, 0.0199, 0.0053, ground
0.9694, 0.011, 0.0198, 0.0053, ground
0.9694, 0.011, 0.0199, 0.0044, ground
0.9694, 0.011, 0.02, 0.0042, ground
0.9766, 0.011, 0.0002, 0.024, line
0.9766, 0.011, 0.0002, 0.0241, line
0.9695, 0.011, 0.0202, 0.0039, ground
0.9695, 0.0109, 0.0202, 0.0039, ground
0.9694, 0.0109, 0.0204, 0.0045, ground
0.9694, 0.0109, 0.0204, 0.0046, ground
0.9695, 0.0109, 0.0203, 0.0046, ground
0.9694, 0.0109, 0.0204, 0.0045, ground
0.9693, 0.0109, 0.0225, 0.0007, ground
0.9693, 0.0109, 0.0225, 0.0008, ground
0.9698, 0.0108, 0.0195, 0.005, ground
0.9699, 0.0108, 0.0193, 0.0054, ground
0.9719, 0.0108, 0.0138, 0.0072, ground
0.9711, 0.0107, 0.0165, 0.0055, ground
0.9711, 0.0107, 0.0165, 0.0054, ground
0.975, 0.0107, 0.0058, 0.0253, ground
0.9703, 0.0107, 0.0184, 0.0073, ground
0.9703, 0.0107, 0.0183, 0.0074, ground
0.9713, 0.0107, 0.0163, 0.0054, ground
0.9713, 0.0107, 0.0163, 0.0054, ground
0.9713, 0.0107, 0.0163, 0.0054, ground
0.9703, 0.0107, 0.0183, 0.0073, ground
0.9699, 0.0107, 0.0203, 0.0049, ground
0.9713, 0.0107, 0.0164, 0.0054, ground
0.9704, 0.0107, 0.0183, 0.0073, ground
0.9699, 0.0107, 0.0203, 0.0048, ground
0.9702, 0.0106, 0.0196, 0.0052, ground
0.97, 0.0106, 0.0203, 0.0048, ground
0.9702, 0.0106, 0.0196, 0.0052, ground
0.97, 0.0106, 0.0202, 0.0049, ground
0.9703, 0.0106, 0.0202, 0.0031, ground
0.9713, 0.0106, 0.0163, 0.0069, ground
0.9704, 0.0106, 0.02, 0.0032, ground
0.9714, 0.0105, 0.0161, 0.007, ground
0.9705, 0.0105, 0.0201, 0.0032, ground
0.9706, 0.0105, 0.02, 0.0032, ground
0.9776, 0.0105, 0.0005, 0.024, line
0.9707, 0.0105, 0.0198, 0.0028, ground
0.9708, 0.0105, 0.0199, 0.0027, ground
0.9708, 0.0105, 0.0198, 0.0028, ground
0.978, 0.0104, 0.0001, 0.0241, line
0.9693, 0.0104, 0.0264, 0.0005, ground
0.9715, 0.0104, 0.0168, 0.0069, ground
0.9714, 0.0104, 0.0169, 0.0082, ground
0.9694, 0.0104, 0.0266, 0.0002, ground
0.9715, 0.0104, 0.0168, 0.0067, ground
0.9714, 0.0103, 0.0179, 0.0062, ground
0.9714, 0.0103, 0.018, 0.0062, ground
0.9714, 0.0103, 0.018, 0.0061, ground
0.9715, 0.0103, 0.0179, 0.0061, ground
0.9719, 0.0102, 0.0164, 0.0097, ground
0.9715, 0.0101, 0.0206, 0.0013, ground
0.9715, 0.0101, 0.0206, 0.0012, ground
0.9715, 0.0101, 0.0209, 0.0009, ground
0.9715, 0.0101, 0.0206, 0.0012, ground
0.9715, 0.0101, 0.0207, 0.0011, ground
0.9715, 0.0101, 0.0209, 0.0008, ground
0.972, 0.0101, 0.0181, 0.0045, ground
0.9775, 0.01, 0.0045, 0.0094, nofault
0.9716, 0.01, 0.0202, 0.0027, ground
0.9716, 0.01, 0.0201, 0.0028, ground
0.9716, 0.01, 0.0202, 0.003, ground
0.9716, 0.01, 0.0201, 0.0032, ground
0.9721, 0.01, 0.0202, 0.0007, ground
0.9721, 0.0099, 0.0203, 0.0003, ground
0.9721, 0.0099, 0.0201, 0.0007, ground
0.9722, 0.0099, 0.0203, 0.0003, ground
0.9754, 0.0099, 0.0083, 0.0147, line
0.972, 0.0099, 0.0202, 0.0018, ground
0.972, 0.0099, 0.0202, 0.0017, ground
0.9754, 0.0099, 0.0082, 0.0147, line
0.9721, 0.0099, 0.0202, 0.0018, ground
0.9721, 0.0098, 0.0203, 0.0018, ground
0.975, 0.0098, 0.0096, 0.0143, line
0.975, 0.0098, 0.0096, 0.0142, line
0.9727, 0.0098, 0.0172, 0.0063, ground
0.9751, 0.0097, 0.0096, 0.0141, line
0.9751, 0.0097, 0.0096, 0.0141, line
0.9725, 0.0097, 0.0204, 0.0007, ground
0.9725, 0.0097, 0.0204, 0.0007, ground
0.9725, 0.0096, 0.0204, 0.0016, ground
0.9726, 0.0096, 0.0204, 0.0016, ground
0.9826, 0.0096, 0.0006, 0.001, phase
0.9726, 0.0096, 0.0205, 0.0015, ground
0.9827, 0.0096, 0.0006, 0.0009, phase
0.9726, 0.0096, 0.0204, 0.0016, ground
0.9726, 0.0096, 0.0202, 0.002, ground
0.9727, 0.0096, 0.02, 0.0022, ground
0.973, 0.0095, 0.0193, 0.0017, ground
0.9728, 0.0095, 0.0201, 0.0019, ground
0.973, 0.0095, 0.0193, 0.0018, ground
0.9729, 0.0095, 0.0198, 0.0022, ground
0.9732, 0.0094, 0.0201, 0.0013, ground
0.9732, 0.0094, 0.02, 0.0013, ground
0.9825, 0.0094, 0.0018, 0.0002, phase
0.9757, 0.0094, 0.0101, 0.0142, ground
0.9825, 0.0094, 0.0018, 0.0002, phase
0.9756, 0.0094, 0.0102, 0.0141, ground
0.973, 0.0093, 0.0215, 0.0011, ground
0.973, 0.0093, 0.0214, 0.0012, ground
0.9737, 0.0093, 0.0197, 0.0004, ground
0.9737, 0.0093, 0.0198, 0.0004, ground
0.9741, 0.0092, 0.018, 0.0021, ground
0.9739, 0.0092, 0.0191, 0.0014, ground
0.9742, 0.0092, 0.0178, 0.0021, ground
0.9739, 0.0092, 0.0191, 0.0014, ground
0.9741, 0.0092, 0.0192, 0.0003, ground
0.9741, 0.0092, 0.0192, 0.0004, ground
0.9741, 0.0092, 0.0192, 0.0003, ground
0.9748, 0.0092, 0.0159, 0.0038, ground
0.9742, 0.0091, 0.0192, 0.0003, ground
0.984, 0.0091, 0.0003, 0.0003, nofault
0.9839, 0.009, 0.0003, 0.0008, phase
0.9841, 0.0089, 0.0002, 0.0011, phase
0.9757, 0.0089, 0.0151, 0.0037, ground
0.9758, 0.0088, 0.015, 0.0036, ground
0.9748, 0.0088, 0.0184, 0.003, ground
0.9749, 0.0087, 0.0183, 0.0031, ground
0.9751, 0.0087, 0.0185, 0.0013, ground
0.9751, 0.0087, 0.0184, 0.0013, ground
0.9751, 0.0087, 0.0185, 0.0012, ground
0.9752, 0.0087, 0.0184, 0.0013, ground
0.9843, 0.0087, 0.001, 0.0001, nofault
0.976, 0.0087, 0.0147, 0.0052, ground
0.9761, 0.0086, 0.0147, 0.0051, ground
0.9752, 0.0086, 0.0187, 0.0019, ground
0.9752, 0.0086, 0.0187, 0.0019, ground
0.9752, 0.0086, 0.0184, 0.0023, ground
0.9752, 0.0086, 0.0184, 0.0023, ground
0.9759, 0.0086, 0.0162, 0.0029, ground
0.9762, 0.0086, 0.0146, 0.0052, ground
0.976, 0.0086, 0.016, 0.003, ground
0.9846, 0.0086, 0.0008, 0.0, phase
0.9845, 0.0086, 0.0009, 0.0, phase
0.9845, 0.0086, 0.0008, 0.0003, phase
0.9763, 0.0086, 0.0155, 0.0027, ground
0.9761, 0.0086, 0.0152, 0.0048, ground
0.9763, 0.0086, 0.0155, 0.0027, ground
0.9846, 0.0086, 0.0008, 0.0001, phase
0.9762, 0.0085, 0.0152, 0.0048, ground
0.9846, 0.0085, 0.001, 0.0002, phase
0.9847, 0.0085, 0.0009, 0.0002, phase
0.975, 0.0085, 0.0218, 0.0008, ground
0.975, 0.0084, 0.0218, 0.0008, ground
0.9775, 0.0083, 0.0123, 0.0078, ground
0.9775, 0.0083, 0.0122, 0.0077, ground
0.9771, 0.0082, 0.0152, 0.0032, ground
0.9771, 0.0082, 0.0153, 0.0032, ground
0.977, 0.0081, 0.0169, 0.0003, nofault
0.9782, 0.0081, 0.0113, 0.0074, ground
0.9783, 0.0081, 0.0112, 0.0076, ground
0.9784, 0.0081, 0.011, 0.0077, ground
0.9854, 0.0081, 0.001, 0.0001, phase
0.9854, 0.0081, 0.0009, 0.0001, phase
0.9779, 0.008, 0.0133, 0.005, ground
0.9779, 0.008, 0.0133, 0.005, ground
0.9832, 0.0079, 0.0001, 0.0176, line
0.9833, 0.0079, 0.0, 0.0176, line
0.9863, 0.0078, 0.0002, 0.0, nofault
0.9779, 0.0077, 0.016, 0.002, ground
0.9779, 0.0077, 0.016, 0.002, ground
0.9862, 0.0077, 0.0, 0.0014, phase
0.9794, 0.0077, 0.0104, 0.0082, ground
0.9794, 0.0077, 0.0104, 0.0081, ground
0.9784, 0.0077, 0.0145, 0.0035, ground
0.9862, 0.0076, 0.0002, 0.0013, phase
0.9784, 0.0076, 0.016, 0.0006, ground
0.9785, 0.0076, 0.0144, 0.0036, ground
0.9785, 0.0076, 0.0158, 0.0008, ground
0.9785, 0.0076, 0.0158, 0.0007, ground
0.9857, 0.0076, 0.0015, 0.0007, phase
0.9786, 0.0076, 0.0159, 0.0007, ground
0.9857, 0.0075, 0.0016, 0.0007, phase
0.9788, 0.0075, 0.0148, 0.0016, ground
0.9788, 0.0075, 0.0148, 0.0017, ground
0.9806, 0.0074, 0.0086, 0.0098, line
0.9836, 0.0074, 0.0014, 0.0147, line
0.9837, 0.0074, 0.0013, 0.0147, line
0.9837, 0.0074, 0.0014, 0.0147, line
0.9869, 0.0074, 0.0002, 0.0006, phase
0.9837, 0.0074, 0.0014, 0.0146, line
0.987, 0.0074, 0.0002, 0.0006, phase
0.9795, 0.0073, 0.0139, 0.002, ground
0.9795, 0.0073, 0.0138, 0.002, ground
0.9807, 0.0073, 0.009, 0.009, line
0.9798, 0.0073, 0.0123, 0.0046, ground
0.9795, 0.0073, 0.014, 0.0026, ground
0.9794, 0.0073, 0.0153, 0.0, ground
0.9806, 0.0073, 0.0092, 0.0092, ground
0.9794, 0.0073, 0.0154, 0.0001, ground
0.9794, 0.0073, 0.0154, 0.0001, ground
0.9794, 0.0073, 0.0153, 0.0001, ground
0.9795, 0.0073, 0.014, 0.0026, ground
0.9807, 0.0073, 0.0091, 0.0092, ground
0.9797, 0.0072, 0.014, 0.0024, ground
0.9798, 0.0072, 0.0139, 0.0024, ground
0.9802, 0.0072, 0.0119, 0.0047, ground
0.9877, 0.0071, 0.0001, 0.0, nofault
0.9876, 0.0071, 0.0002, 0.0001, nofault
0.9799, 0.007, 0.0152, 0.0011, ground
0.9799, 0.007, 0.0151, 0.0011, ground
0.9875, 0.0069, 0.0008, 0.0002, phase
0.9875, 0.0069, 0.0008, 0.0002, phase
0.987, 0.0069, 0.0016, 0.0002, phase
0.9875, 0.0069, 0.0008, 0.0003, phase
0.9875, 0.0069, 0.0009, 0.0001, phase
0.987, 0.0068, 0.0016, 0.0002, phase
0.9877, 0.0067, 0.001, 0.0001, phase
0.9878, 0.0067, 0.0009, 0.0001, phase
0.9826, 0.0066, 0.0077, 0.0082, ground
0.9827, 0.0066, 0.0076, 0.0082, ground
0.9813, 0.0066, 0.0135, 0.0022, ground
0.9813, 0.0065, 0.0134, 0.0023, ground
0.9822, 0.0064, 0.0117, 0.0024, ground
0.9888, 0.0064, 0.0, 0.0006, nofault
0.9823, 0.0064, 0.0116, 0.0023, ground
0.986, 0.0063, 0.0011, 0.0124, line
0.9861, 0.0063, 0.0011, 0.0123, line
0.9849, 0.0063, 0.0039, 0.0095, line
0.9849, 0.0063, 0.0039, 0.0095, line
0.9887, 0.0062, 0.0007, 0.0004, phase
0.9887, 0.0062, 0.0006, 0.0005, phase
0.9887, 0.0062, 0.0006, 0.0005, phase
0.9829, 0.0061, 0.0106, 0.0038, ground
0.983, 0.0061, 0.0106, 0.0037, ground
0.9841, 0.0061, 0.0072, 0.0075, ground
0.9841, 0.006, 0.0072, 0.0074, ground
0.9839, 0.006, 0.008, 0.0076, line
0.9839, 0.006, 0.0079, 0.0077, line
0.9835, 0.006, 0.0101, 0.0036, ground
0.9835, 0.006, 0.0101, 0.0036, ground
0.9862, 0.006, 0.0024, 0.0101, line
0.9862, 0.006, 0.0024, 0.0101, line
0.9893, 0.006, 0.0002, 0.0007, phase
0.9862, 0.006, 0.0025, 0.01, line
0.9892, 0.0059, 0.0004, 0.0007, phase
0.9875, 0.0059, 0.0004, 0.0083, nofault
0.9863, 0.0059, 0.0024, 0.0101, line
0.9893, 0.0059, 0.0003, 0.0006, phase
0.9893, 0.0059, 0.0003, 0.0008, phase
0.9833, 0.0059, 0.0119, 0.0014, ground
0.9858, 0.0059, 0.0037, 0.0088, line
0.9858, 0.0059, 0.0038, 0.0087, line
0.9867, 0.0058, 0.0019, 0.0094, line
0.9868, 0.0058, 0.0018, 0.0095, line
0.9838, 0.0058, 0.0106, 0.002, ground
0.9838, 0.0058, 0.0106, 0.002, ground
0.9868, 0.0058, 0.0019, 0.0092, line
0.9894, 0.0058, 0.0005, 0.0006, phase
0.9894, 0.0058, 0.0005, 0.0006, phase
0.9869, 0.0058, 0.0017, 0.0095, line
0.9838, 0.0058, 0.0113, 0.0015, ground
0.989, 0.0058, 0.001, 0.0012, nofault
0.9838, 0.0057, 0.0111, 0.0023, ground
0.9838, 0.0057, 0.011, 0.0024, ground
0.9843, 0.0057, 0.0095, 0.0034, ground
0.9896, 0.0057, 0.0005, 0.0006, phase
0.9843, 0.0057, 0.0094, 0.0034, ground
0.9896, 0.0057, 0.0005, 0.0005, phase
0.9897, 0.0057, 0.0005, 0.0006, phase
0.9897, 0.0057, 0.0004, 0.0006, phase
0.984, 0.0056, 0.0113, 0.0018, ground
0.9841, 0.0056, 0.0116, 0.0005, ground
0.9841, 0.0056, 0.0117, 0.0005, ground
0.984, 0.0056, 0.0114, 0.0018, ground
0.9843, 0.0055, 0.0115, 0.0007, ground
0.9901, 0.0055, 0.0002, 0.0003, nofault
0.9868, 0.0055, 0.0034, 0.0088, line
0.9844, 0.0055, 0.0115, 0.0007, ground
0.9868, 0.0055, 0.0034, 0.0088, line
0.9845, 0.0055, 0.0115, 0.0006, ground
0.9845, 0.0054, 0.0115, 0.0005, ground
0.9845, 0.0054, 0.0115, 0.0006, ground
0.985, 0.0054, 0.0092, 0.0033, ground
0.9845, 0.0054, 0.0114, 0.0006, ground
0.9856, 0.0054, 0.007, 0.0068, ground
0.9902, 0.0054, 0.0004, 0.0007, phase
0.9856, 0.0054, 0.0069, 0.0068, ground
0.9902, 0.0054, 0.0004, 0.0007, phase
0.9866, 0.0054, 0.0049, 0.0052, nofault
0.986, 0.0053, 0.0075, 0.0031, nofault
0.9903, 0.0052, 0.0008, 0.0003, phase
0.9905, 0.0052, 0.0004, 0.0005, phase
0.9907, 0.0052, 0.0004, 0.0, nofault
0.9864, 0.0052, 0.0061, 0.007, ground
0.9865, 0.0052, 0.006, 0.007, ground
0.9876, 0.0051, 0.0033, 0.0076, line
0.9866, 0.0051, 0.0059, 0.0076, ground
0.9866, 0.0051, 0.0059, 0.0076, ground
0.9877, 0.0051, 0.0033, 0.0076, line
0.986, 0.0051, 0.0085, 0.003, ground
0.9905, 0.0051, 0.001, 0.0, phase
0.9906, 0.0051, 0.0009, 0.0001, phase
0.9906, 0.0051, 0.0009, 0.0, phase
0.9906, 0.0051, 0.001, 0.0, phase
0.9857, 0.0051, 0.0104, 0.0004, ground
0.9873, 0.0051, 0.0045, 0.0061, line
0.9878, 0.0051, 0.0033, 0.0074, line
0.9858, 0.0051, 0.0101, 0.0006, ground
0.9874, 0.005, 0.0045, 0.0061, line
0.9878, 0.005, 0.0033, 0.0075, line
0.9879, 0.005, 0.0033, 0.0074, line
0.9879, 0.005, 0.0032, 0.0075, line
0.991, 0.005, 0.0004, 0.0001, phase
0.9905, 0.005, 0.0012, 0.0, phase
0.9906, 0.005, 0.0011, 0.0001, phase
0.9866, 0.005, 0.0069, 0.0061, ground
0.9905, 0.005, 0.0013, 0.0, phase
0.9905, 0.005, 0.0013, 0.0001, phase
0.991, 0.005, 0.0003, 0.0007, phase
0.9866, 0.005, 0.0069, 0.0061, ground
0.9871, 0.0049, 0.0058, 0.0068, line
0.9871, 0.0049, 0.0058, 0.0068, line
0.9871, 0.0049, 0.0058, 0.0068, line
0.9871, 0.0049, 0.0059, 0.0067, line
0.9912, 0.0049, 0.0003, 0.0005, phase
0.9912, 0.0049, 0.0004, 0.0003, phase
0.9864, 0.0049, 0.0093, 0.0015, ground
0.9889, 0.0049, 0.0018, 0.0078, line
0.9864, 0.0048, 0.0093, 0.0015, ground
0.9889, 0.0048, 0.0018, 0.0077, line
0.987, 0.0048, 0.0067, 0.0044, ground
0.9867, 0.0048, 0.008, 0.0031, ground
0.9871, 0.0048, 0.0066, 0.0044, ground
0.9908, 0.0048, 0.001, 0.0007, nofault
0.9868, 0.0048, 0.0081, 0.0026, ground
0.9873, 0.0048, 0.0063, 0.0049, ground
0.9869, 0.0048, 0.008, 0.0027, ground
0.9874, 0.0047, 0.0062, 0.005, ground
0.9913, 0.0047, 0.0006, 0.0004, phase
0.9913, 0.0047, 0.0006, 0.0003, phase
0.9869, 0.0047, 0.0089, 0.0015, ground
0.9869, 0.0047, 0.009, 0.0014, ground
0.9887, 0.0047, 0.003, 0.0069, line
0.9887, 0.0047, 0.003, 0.0069, line
1.0079, 0.0046, 0.0001, 0.0, nofault
0.9869, 0.0046, 0.0097, 0.0008, ground
0.9869, 0.0046, 0.0098, 0.0007, ground
0.9879, 0.0046, 0.0057, 0.0056, nofault
0.9889, 0.0046, 0.0032, 0.0067, line
0.9889, 0.0046, 0.0031, 0.0067, line
0.9882, 0.0046, 0.0049, 0.0072, ground
0.9915, 0.0046, 0.0005, 0.0009, phase
0.9889, 0.0046, 0.0032, 0.0066, line
1.0076, 0.0045, 0.0001, 0.0003, nofault
0.9887, 0.0045, 0.004, 0.0062, line
0.9922, 0.0045, 0.0, 0.0002, nofault
0.9921, 0.0045, 0.0001, 0.0001, nofault
0.9887, 0.0045, 0.0041, 0.0062, line
0.9887, 0.0045, 0.0041, 0.0062, line
0.9887, 0.0045, 0.004, 0.0064, line
0.9887, 0.0045, 0.0041, 0.0062, line
0.9888, 0.0045, 0.0041, 0.0065, line
0.9916, 0.0044, 0.0011, 0.0002, phase
0.9885, 0.0044, 0.0051, 0.0059, line
0.9885, 0.0044, 0.0052, 0.006, line
0.992, 0.0044, 0.0004, 0.0004, phase
0.992, 0.0044, 0.0005, 0.0003, phase
0.9877, 0.0044, 0.0088, 0.0008, ground
0.9876, 0.0044, 0.0092, 0.0007, ground
0.9877, 0.0043, 0.0092, 0.0, ground
0.9923, 0.0043, 0.0001, 0.0005, phase
0.989, 0.0043, 0.0042, 0.0051, line
0.9921, 0.0043, 0.0004, 0.0004, phase
0.9924, 0.0043, 0.0002, 0.0001, nofault
0.9878, 0.0043, 0.0091, 0.0004, ground
0.9921, 0.0043, 0.0006, 0.0001, phase
0.9879, 0.0043, 0.0091, 0.0, ground
0.9922, 0.0043, 0.0003, 0.0005, phase
0.9891, 0.0043, 0.0041, 0.0051, line
0.9882, 0.0043, 0.0072, 0.0023, ground
0.9892, 0.0043, 0.004, 0.0058, ground
0.9892, 0.0043, 0.0039, 0.0057, ground
0.9883, 0.0043, 0.0072, 0.0021, ground
0.9884, 0.0043, 0.0069, 0.0023, ground
0.9883, 0.0042, 0.0071, 0.0022, ground
0.9883, 0.0042, 0.0071, 0.0029, ground
0.9883, 0.0042, 0.0071, 0.0029, ground
0.9895, 0.0042, 0.0034, 0.0079, ground
0.9881, 0.0042, 0.0083, 0.0008, ground
0.9888, 0.0042, 0.0056, 0.0046, ground
0.9896, 0.0041, 0.0038, 0.0061, line
0.9899, 0.0041, 0.0032, 0.0057, line
0.9899, 0.0041, 0.0032, 0.0058, line
0.9896, 0.0041, 0.0038, 0.0061, line
0.9899, 0.0041, 0.0032, 0.0057, line
0.9899, 0.0041, 0.0032, 0.0057, line
0.9909, 0.004, 0.0022, 0.0033, ground
0.9898, 0.004, 0.0039, 0.0058, line
0.9891, 0.004, 0.0065, 0.0026, ground
0.9891, 0.004, 0.0064, 0.0026, ground
0.9898, 0.004, 0.0041, 0.0054, nofault
0.9899, 0.0039, 0.004, 0.006, line
0.9903, 0.0039, 0.0031, 0.0057, line
0.9903, 0.0039, 0.0031, 0.0057, line
0.9926, 0.0039, 0.0004, 0.0012, phase
0.9893, 0.0039, 0.0063, 0.0027, ground
0.9893, 0.0039, 0.0062, 0.0029, ground
0.9902, 0.0039, 0.0036, 0.0054, line
0.9926, 0.0039, 0.0004, 0.0014, phase
0.9902, 0.0039, 0.0035, 0.0054, line
0.9924, 0.0038, 0.0013, 0.0003, phase
0.9924, 0.0038, 0.0013, 0.0003, phase
0.9897, 0.0038, 0.0055, 0.0033, ground
0.9929, 0.0038, 0.0007, 0.0003, nofault
0.9931, 0.0037, 0.0006, 0.0001, phase
0.9908, 0.0037, 0.0031, 0.0056, line
0.9909, 0.0037, 0.0028, 0.0056, line
0.9936, 0.0037, 0.0, 0.0001, nofault
0.9901, 0.0037, 0.0052, 0.003, ground
0.9909, 0.0037, 0.003, 0.0053, nofault
0.9908, 0.0036, 0.0034, 0.0063, ground
0.9908, 0.0036, 0.0034, 0.0063, ground
0.9918, 0.0036, 0.0019, 0.0032, nofault
0.9897, 0.0036, 0.0076, 0.0006, ground
0.9898, 0.0036, 0.0075, 0.0006, ground
0.9921, 0.0035, 0.0009, 0.0062, line
0.9903, 0.0035, 0.0056, 0.0025, ground
0.9904, 0.0035, 0.0053, 0.0038, line
0.9905, 0.0035, 0.005, 0.0041, line
0.9922, 0.0035, 0.0009, 0.0069, line
0.9923, 0.0035, 0.0008, 0.0069, line
0.9904, 0.0035, 0.0061, 0.0018, ground
0.994, 0.0034, 0.0001, 0.0, nofault
0.9907, 0.0034, 0.0056, 0.0014, ground
0.9925, 0.0034, 0.0006, 0.0063, line
0.9925, 0.0034, 0.0006, 0.0062, line
0.99, 0.0034, 0.0081, 0.0003, ground
0.9905, 0.0034, 0.006, 0.0018, ground
0.99, 0.0034, 0.0082, 0.0002, ground
0.99, 0.0034, 0.008, 0.0014, ground
0.9907, 0.0034, 0.0058, 0.0014, ground
0.9907, 0.0034, 0.0058, 0.0016, ground
0.9901, 0.0034, 0.0079, 0.0015, ground
0.9906, 0.0034, 0.0067, 0.0006, ground
0.9916, 0.0033, 0.0029, 0.0045, line
0.9906, 0.0033, 0.0067, 0.0008, ground
0.9927, 0.0033, 0.0006, 0.006, line
0.9927, 0.0033, 0.0005, 0.0061, line
0.9927, 0.0033, 0.0006, 0.006, line
0.9927, 0.0033, 0.0006, 0.006, line
0.9909, 0.0033, 0.0057, 0.0013, ground
0.9911, 0.0033, 0.0053, 0.0013, ground
0.9943, 0.0033, 0.0, 0.0002, nofault
0.9914, 0.0032, 0.005, 0.0015, ground
0.9914, 0.0032, 0.005, 0.0015, ground
0.9921, 0.0032, 0.0037, 0.0006, nofault
0.9919, 0.0032, 0.0032, 0.0057, line
0.9918, 0.0032, 0.0034, 0.0054, line
0.9915, 0.0031, 0.0052, 0.0011, ground
0.9918, 0.0031, 0.0047, 0.0009, nofault
0.9916, 0.0031, 0.0051, 0.0011, ground
0.9927, 0.0031, 0.0018, 0.0049, line
0.9945, 0.0031, 0.0002, 0.0002, nofault
0.9915, 0.0031, 0.0051, 0.0024, ground
0.9927, 0.0031, 0.0018, 0.005, line
0.9917, 0.0031, 0.0049, 0.0018, ground
0.9917, 0.003, 0.0049, 0.0018, ground
0.9927, 0.003, 0.0018, 0.005, line
0.9917, 0.003, 0.0046, 0.0034, ground
0.9917, 0.003, 0.0046, 0.0033, ground
0.9928, 0.003, 0.0018, 0.005, line
0.9917, 0.003, 0.005, 0.0024, ground
0.9917, 0.003, 0.0057, 0.0004, nofault
1.005, 0.003, 0.0001, 0.0, nofault
0.9918, 0.0029, 0.0057, 0.0011, ground
0.9915, 0.0029, 0.0064, 0.0015, ground
0.9916, 0.0029, 0.0063, 0.0015, ground
0.9919, 0.0029, 0.0055, 0.0013, ground
1.0044, 0.0028, 0.0, 0.0013, nofault
0.992, 0.0028, 0.0057, 0.0005, ground
0.9924, 0.0028, 0.0045, 0.0011, ground
0.9924, 0.0028, 0.0045, 0.0011, ground
0.992, 0.0028, 0.0057, 0.0006, ground
0.9922, 0.0028, 0.0052, 0.0004, nofault
0.9921, 0.0028, 0.0058, 0.0005, ground
0.9949, 0.0028, 0.0003, 0.0, nofault
0.9947, 0.0028, 0.0006, 0.0002, phase
0.9925, 0.0028, 0.0043, 0.0011, ground
0.9948, 0.0028, 0.0005, 0.0003, phase
0.9921, 0.0028, 0.0058, 0.0004, ground
0.9946, 0.0028, 0.0009, 0.0, phase
0.9947, 0.0028, 0.0007, 0.0001, phase
0.9924, 0.0028, 0.0045, 0.0021, ground
0.9924, 0.0028, 0.0044, 0.0021, ground
0.9924, 0.0028, 0.0044, 0.0021, ground
0.9946, 0.0028, 0.0009, 0.0, phase
0.9924, 0.0027, 0.0044, 0.0021, ground
0.993, 0.0027, 0.0028, 0.0034, line
0.993, 0.0027, 0.0028, 0.0033, line
0.9948, 0.0027, 0.0007, 0.0, phase
0.993, 0.0027, 0.0028, 0.0034, line
0.993, 0.0027, 0.0027, 0.0034, line
0.993, 0.0027, 0.0028, 0.0034, line
0.993, 0.0027, 0.0028, 0.0034, line
0.9941, 0.0027, 0.0009, 0.0022, nofault
0.9941, 0.0027, 0.0004, 0.0053, line
0.9942, 0.0027, 0.0004, 0.0053, line
0.9926, 0.0026, 0.0056, 0.0002, ground
0.9926, 0.0026, 0.0055, 0.0002, ground
0.9927, 0.0026, 0.0052, 0.0014, ground
0.9927, 0.0025, 0.0052, 0.0013, ground
0.9929, 0.0025, 0.0052, 0.0002, nofault
0.9933, 0.0025, 0.0038, 0.0011, ground
0.9933, 0.0024, 0.0045, 0.0014, ground
0.9933, 0.0023, 0.0046, 0.0014, ground
0.9933, 0.0023, 0.0045, 0.0013, ground
0.9934, 0.0023, 0.0045, 0.0014, ground
0.9935, 0.0022, 0.0052, 0.0002, nofault
0.994, 0.0021, 0.0043, 0.0003, ground
0.994, 0.0021, 0.0043, 0.0002, ground
0.994, 0.0021, 0.0043, 0.0003, ground
0.9943, 0.0021, 0.0033, 0.0012, ground
0.9941, 0.0021, 0.0043, 0.0002, ground
0.9941, 0.0021, 0.0042, 0.0005, ground
0.9941, 0.0021, 0.0042, 0.0003, ground
0.9943, 0.0021, 0.0037, 0.0006, nofault
0.9963, 0.0021, 0.0001, 0.0003, nofault
0.9963, 0.0021, 0.0001, 0.0001, nofault
0.9943, 0.002, 0.0036, 0.0015, ground
0.9943, 0.002, 0.0036, 0.0014, ground
1.0032, 0.002, 0.0003, 0.0, nofault
0.9944, 0.002, 0.0039, 0.0007, nofault
0.9948, 0.0019, 0.0029, 0.0012, ground
0.996, 0.0019, 0.0002, 0.0023, nofault
0.9948, 0.0019, 0.0035, 0.0001, nofault
0.995, 0.0019, 0.003, 0.0003, ground
0.995, 0.0019, 0.003, 0.0004, ground
0.9951, 0.0018, 0.003, 0.0006, ground
0.9952, 0.0018, 0.0029, 0.0007, ground
0.9952, 0.0018, 0.0028, 0.001, ground
0.9949, 0.0018, 0.0037, 0.0011, nofault
0.9969, 0.0018, 0.0001, 0.0, nofault
0.9968, 0.0017, 0.0, 0.0003, nofault
0.9954, 0.0017, 0.0028, 0.0007, ground
0.9953, 0.0017, 0.0031, 0.0006, ground
0.9953, 0.0017, 0.0031, 0.0006, ground
0.9955, 0.0017, 0.0026, 0.0008, ground
